@id,@lon,@lat,name,opening_hours,website,addr:street
1307645901,2.3096414,48.8472282,Bonheur de Mode,,,
1307645932,2.3093739,48.8471632,Mes Chaussettes Rouges,,,
1327343936,2.2630852,48.8851535,Numaé,,,
1334007469,2.3910562,48.8492635,Nozbone,,http://www.nozbone.com,Rue du Faubourg Saint-Antoine
1352887696,2.3739766,48.8492588,Baby the Star Shine Bright,Mo-Sa 12:00-19:00,http://babyparis.blog99.fc2.com/,
1361563034,2.3653731,48.8218081,,,,
1369136507,2.3298796,48.8735917,H&M,,,
1397582276,2.1811071,48.8767825,The Kooples,,,
1397582283,2.1814024,48.8769176,Andy,Tu-Sa 10:00-13:00 14:00-19:00,,
1398081958,2.1801822,48.8764345,Gérard Darel,,,
1398085548,2.1816745,48.8773241,Mango,,,Rue Paul Vaillant-Couturier
1398085551,2.1815258,48.8773326,Gary,,,
1400297902,2.1810678,48.8770296,Du Pareil au Même,,,
1400350300,2.1783846,48.8782396,OLa boutique,,,
1400350303,2.1810265,48.8755609,Hilander,,,
1401273548,2.1780029,48.8782925,Natalys,,,
1401273554,2.1782468,48.8783595,Tout Compte Fait,,,
1401273566,2.1793626,48.8774952,La Bohème,,,
1406330769,2.1813447,48.8770402,,,,
1408462746,2.3298919,48.8707627,Golfino,Mo-Sa 10:00-19:30,,Rue Scribe
1411499378,2.1976936,48.8902771,Johalyn,,,
1417976157,2.2568760,48.9720392,Lignes,,,
1420011144,2.2337366,48.8292391,Assinie,,,
1430135362,2.3803591,48.8513852,,,,
1430815433,2.3252275,48.8436724,Stock Market,,,
1432196154,2.3998811,48.8471345,Maryland-Cotton,Mo-Sa 09:30-20:00,,Rue du Rendez-Vous
1437396759,2.2749012,48.8586719,Du Pareil au Même,,,
1437396764,2.2751191,48.8597256,Mon Cadeau Préféré,,,
1437396786,2.2751074,48.8597923,À La Plage,,,
1438280156,2.2750534,48.8599713,Troc de la Muette,,,
1440251011,2.3395714,48.8776620,Sergent Major,,,
1442297638,2.2751837,48.8606078,L'Occaserie,,,
1446934512,2.2756712,48.8617960,Les Bambins et Cie,,,
1447463725,2.4039420,48.8350900,teeshirtplace.com,Mo-Fr 09:30-18:00,,Rue Ernest Lacoste
1449497781,2.2783181,48.8646203,Réciproque,,,
1449497784,2.2782074,48.8645300,Wan,,,
1453640782,2.2792851,48.8656558,Graine d'Amour,,,
1453640793,2.2783206,48.8648361,Réciproque,,,
1453640794,2.2786454,48.8650988,Réciproque,,,
1453640803,2.2793576,48.8657303,USA Concept Sport,Mo-Sa 10:00-19:00,,
1454697275,2.4619638,48.7934873,,,,
1454780807,2.2799345,48.8665189,IKKS Junior,,,
1454780818,2.2798469,48.8663405,Sandro,,,
1456695047,2.2804353,48.8668385,American Retro,,,
1456695052,2.2803093,48.8669751,John Demersay,,,
1456695062,2.2804141,48.8668093,Les Petites...,,,
1456695066,2.2805624,48.8670126,Nina,,,
1456695084,2.2805107,48.8669420,Prestige,,,
1456695091,2.2805452,48.8669891,Scarlet Ross,,,
1456695094,2.2803343,48.8666996,Victoria,,,
1456695096,2.2807843,48.8672879,Votre Nom,,,
1461101849,2.2809189,48.8675031,Harrison,,,
1461101853,2.2809800,48.8675864,Oliver Grant,,,
1462242135,2.2814727,48.8679064,Anti-Crise,,,
1462242136,2.2817412,48.8682702,Bel Air,,,
1462242175,2.2818280,48.8680564,Promod,,,
1463853538,2.2827298,48.8684385,Atelier de Courcelles,,,
1463853546,2.2824596,48.8685745,Caroll,,,
1463853550,2.2826107,48.8683881,Marco Serussi,,,
1463853555,2.2819218,48.8683467,Stepha,,,
1463853557,2.2825741,48.8683727,Tout Compte Fait,,,
1463853559,2.2821404,48.8684394,,,,
1465052902,2.2834323,48.8687358,Doré Doré,,,
1465052903,2.2832292,48.8686497,Etam,,,
1465052907,2.2831353,48.8686100,Sergent Major,,,
1465052908,2.2835846,48.8688004,Un Jour Ailleurs,,,
1466909508,2.2838989,48.8689336,Du Pareil au Même,,,
1466909527,2.2837515,48.8691211,Les Envahisseurs,,,
1466909536,2.2838590,48.8691666,Petit Page Junior,,,
1471972825,2.2841723,48.8692991,American Apparel,,,
1471972830,2.2842525,48.8693330,Clayeux,,,
1473027349,2.2392967,48.8324953,Milgriff,Mo-Sa 10:00-19:30,,
1474338348,2.4422532,48.7752044,La Halle!,,,
1486314050,2.3433544,48.8712614,Levi's Store,,,
1486314056,2.3420416,48.8714703,Motus,,,
1488772078,2.3574635,48.8795929,Beauty One,,,
1504098171,2.3314318,48.8703083,Basler,Mo-Sa 10:00-19:00,,
1514722070,2.1954054,48.8902551,La Suite,,,
1514722084,2.1962294,48.8902358,La French,,,
1528672386,2.3470090,48.8581770,Du Pareil au Même,Mo-Sa 10:00-19:30,,
1528727082,2.3672590,48.8527730,White Boutik,Mo-Sa 10:00-19:00,,
1540677915,2.3334220,48.8732820,H&M,,,
1540677917,2.3300511,48.8735763,Mango,,,
1559465832,2.2359793,48.8079860,Lili Fripouille,,,
1578702702,2.4509101,48.8480571,Cyrillus,,,
1649702448,2.3184866,48.8699833,,,,
1651309344,2.3495381,48.8604300,Puma Store,,,Boulevard de Sébastopol
1659346264,2.4800195,48.9055292,Tati,Mo-Sa 10:00-19:00;Su 11:00-19:00,,
1668734336,2.3460180,48.8940750,La Prospérité,,,
1668777341,2.3430602,48.8930534,,,,
1669011357,2.3423457,48.8937108,Saga des Marques,,,
1669013367,2.3415970,48.8942600,Sergent Major,,,
1670151362,2.3636450,48.8695700,American Apparel,,,
1670552997,2.3329077,48.8709548,Burma,,,
1670553028,2.3333757,48.8710323,Mango,,,
1670553068,2.3330039,48.8709702,Zara,,,
1672098371,2.3769394,48.8509066,,,,
